1202,2705 AVENUE R                            ,Brooklyn,NY,11229
1203,1964 EAST 19TH   STREET                  ,Brooklyn,NY,11229
1204,1305 EAST 34TH   STREET                  ,Brooklyn,NY,11210
1205,2720 ARKANSAS DRIVE                      ,Brooklyn,NY,11234
1206,2616 BATCHELDER STREET                   ,Brooklyn,NY,11235
1207,521 45TH STREET                          ,Brooklyn,NY,11220
1208,1130 EAST 28TH   STREET                  ,Brooklyn,NY,11210
1209,317 HART STREET                          ,Brooklyn,NY,11206
1210,27 KIELY PLACE                           ,Brooklyn,NY,11208
1211,2435 BRAGG STREET                        ,Brooklyn,NY,11235
1212,2241 EAST 29TH   STREET                  ,Brooklyn,NY,11229
1213,115 BEVY COURT                           ,Brooklyn,NY,11229
1214,2248 ROYCE ST                            ,Brooklyn,NY,11234
1215,1334 PACIFIC STREET                      ,Brooklyn,NY,11216
1216,1271 EAST 69TH   STREET                  ,Brooklyn,NY,11234
1217,2106 STRAUSS STREET                      ,Brooklyn,NY,11212
1218,1819 49TH STREET                         ,Brooklyn,NY,11204
1219,26 NORWOOD AVENUE                        ,Brooklyn,NY,11208
1220,280 AUTUMN AVE                           ,Brooklyn,NY,11208
1221,2446 EAST 7TH   STREET                   ,Brooklyn,NY,11235
1222,70 DOSCHER ST                            ,Brooklyn,NY,11208
1223,504 NEW JERSEY AVENUE                    ,Brooklyn,NY,11207
1224,1794 OCEAN AVENUE                        ,Brooklyn,NY,11230
1225,2513 BEDFORD AVENUE                      ,Brooklyn,NY,11226
1226,2747 EAST 65TH   STREET                  ,Brooklyn,NY,11234
1227,1273 PARK PLACE                          ,Brooklyn,NY,11213
1228,313 49 ST                                ,Brooklyn,NY,11220
1229,1790 EAST 22ND   STREET                  ,Brooklyn,NY,11229
1230,1167 GREENE AVENUE                       ,Brooklyn,NY,11221
1231,1531 EAST 38TH STREET                    ,Brooklyn,NY,11234
1232,6304 STRICKLAND AVENUE                   ,Brooklyn,NY,11234
1233,1790 EAST 22ND STREET                    ,Brooklyn,NY,11229
1234,2757 WEST 16TH   STREET                  ,Brooklyn,NY,11224
1235,62 EAST 57 STREET                        ,Brooklyn,NY,11203
1236,1549 WEST 6TH   STREET                   ,Brooklyn,NY,11204
1237,40 ELDERT LANE                           ,Brooklyn,NY,11208
1238,146 BARLOW DRIVE SOUTH                   ,Brooklyn,NY,11234
1239,2438 EAST 70TH   STREET                  ,Brooklyn,NY,11234
1240,2945 QUENTIN ROAD                        ,Brooklyn,NY,11229
1241,8849 18TH   AVENUE                       ,Brooklyn,NY,11214
1242,446 MARION STREET                        ,Brooklyn,NY,11233
1243,2114 STUART STREET                       ,Brooklyn,NY,11229
1244,292 BAY 10TH STREET                      ,Brooklyn,NY,11228
1245,2881 86TH STREET                         ,Brooklyn,NY,11223
1246,9405 SKIDMORE AVENUE                     ,Brooklyn,NY,11236
1247,1160 EAST 13TH STREET                    ,Brooklyn,NY,11230
1248,214 72 STREET                            ,Brooklyn,NY,11209
1249,841 AVENUE Z                             ,Brooklyn,NY,11235
1250,1229 EAST 24TH   STREET                  ,Brooklyn,NY,11210
1251,4024 MANHATTAN AVE                       ,Brooklyn,NY,11224
1252,124 BLAKE AVENUE                         ,Brooklyn,NY,11212
1253,1869 MCDONALD AVENUE                     ,Brooklyn,NY,11223
1254,449 SHEPHERD AVENUE                      ,Brooklyn,NY,11208
1255,400 LINDEN STREET                        ,Brooklyn,NY,11237
1256,2707 AVENUE R                            ,Brooklyn,NY,11229
1257,3812 NAUTILUS AVE                        ,Brooklyn,NY,11224
1258,154 SUMPTER STREET                       ,Brooklyn,NY,11233
1259,222 VAN SICLEN AVENUE                    ,Brooklyn,NY,11207
1260,1889 WEST 8TH   STREET                   ,Brooklyn,NY,11223
1261,1547 EAST 31ST STREET                    ,Brooklyn,NY,11234
1262,1314 77TH STREET                         ,Brooklyn,NY,11228
1263,203 MACDOUGAL STREET                     ,Brooklyn,NY,11233
1264,658 WARWICK STREET                       ,Brooklyn,NY,11207
1265,2403 BRIGHAM STREET                      ,Brooklyn,NY,11235
1266,10410 AVENUE K                           ,Brooklyn,NY,11236
1267,2109A PACIFIC STREET                     ,Brooklyn,NY,11233
1268,2627 EAST 22 STREET                      ,Brooklyn,NY,11235
1269,1220 GREENE AVENUE                       ,Brooklyn,NY,11221
1270,1638 KIMBALL STREET                      ,Brooklyn,NY,11234
1271,2521 AVENUE D                            ,Brooklyn,NY,11226
1272,2672 EAST 22ND   STREET                  ,Brooklyn,NY,11235
1273,184 COVERT STREET                        ,Brooklyn,NY,11207
1274,2252 EAST 15 STREET                      ,Brooklyn,NY,11229
1275,513 DECATUR STREET                       ,Brooklyn,NY,11233
1276,102 WEIRFIELD STREET                     ,Brooklyn,NY,11221
