72,1361 EAST 84TH STREET                    ,New York,NY,11236
73,179 RIDGEWOOD AVENUE                     ,New York,NY,11208
74,1366 84TH STREET                         ,New York,NY,11228
75,148 REMSEN AVENUE                        ,New York,NY,11212
76,988 CLEVELAND STREET                     ,New York,NY,11208
77,236 NICHOLS AVENUE                       ,New York,NY,11208
78,739 VERMONT STREET                       ,New York,NY,11207
79,18 STANTON ROAD                          ,New York,NY,11235
80,575 EAST 18TH   STREET                   ,New York,NY,11226
81,979 EAST 38TH STREET                     ,New York,NY,11210
82,370 E32ND STREET                         ,New York,NY,11226
83,276 GRANT AVENUE                         ,New York,NY,11208
84,98 EAST 39TH STREET                      ,New York,NY,11203
85,470 HENDRIX STREET                       ,New York,NY,11207
86,115 ABBEY COURT                          ,New York,NY,11229
87,847 EAST 57TH STREET                     ,New York,NY,11234
88,200 BRIGHTON 10 STREET                   ,New York,NY,11235
89,3845 NEPTUNE AVENUE                      ,New York,NY,11224
90,2235 EAST 38 STREET                      ,New York,NY,11234
91,5206 SNYDER AVE                          ,New York,NY,11203
92,2716 ALBERMARLE RD                       ,New York,NY,11226
93,2035 EAST 59TH   STREET                  ,New York,NY,11234
94,160 WELDON STREET                        ,New York,NY,11208
95,1047 EAST 81ST STREET                    ,New York,NY,11236
96,3830 LYME AVENUE                         ,New York,NY,11224
97,152 31ST STREET                          ,New York,NY,11232
98,451 NEWPORT STREET                       ,New York,NY,11207
99,2048 EASTERN PARKWAY                     ,New York,NY,11207
100,1210 40TH STREET                         ,New York,NY,11218
101,714 CLARKSON AVENUE                      ,New York,NY,11203
102,436 EAST 53RD   STREET                   ,New York,NY,11203
103,817 LOGAN STREET                         ,New York,NY,11208
104,9 LAKE AVENUE                            ,New York,NY,11235
105,247 EAST 45TH STREET                     ,New York,NY,11203
106,141 28TH   AVENUE                        ,New York,NY,11214
107,62 DE SALES PLACE                        ,New York,NY,11207
108,58 AUTUMN AVENUE                         ,New York,NY,11208
109,723 WARWICK STREET                       ,New York,NY,11207
110,1150 EAST 89TH STREET                    ,New York,NY,11236
111,9316 AVENUE M                            ,New York,NY,11236
112,1821 ROCKAWAY PARKWAY                    ,New York,NY,11236
113,739 EAST 88TH   STREET                   ,New York,NY,11236
114,144 VERMONT ST                           ,New York,NY,11207
115,547 THOMAS BOYLAND ST                    ,New York,NY,11212
116,354 BRADFORD                             ,New York,NY,11207
117,440 CLEVELAND STREET                     ,New York,NY,11208
118,648 EAST 40TH   STREET                   ,New York,NY,11203
119,1512 EAST 51ST STREET                    ,New York,NY,11234
120,1217 EAST 9TH   STREET                   ,New York,NY,11230
121,115 NOEL AVENUE                          ,New York,NY,11229
122,466 BRADFORD STREET                      ,New York,NY,11207
123,586 HINSDALE STREET                      ,New York,NY,11207
124,1055 EAST 34TH STREET                    ,New York,NY,11210
125,731 LENOX ROAD                           ,New York,NY,11203
126,1195 SCHENECTADY AVENUE                  ,New York,NY,11203
127,553 SARATOGA AVENUE                      ,New York,NY,11212
128,2032 KIMBALL STREET                      ,New York,NY,11234
129,949 EAST 88TH   STREET                   ,New York,NY,11236
130,727 NEW JERSEY AVENUE                    ,New York,NY,11207
131,2001 STRAUSS STREET                      ,New York,NY,11212
132,8813 BAY 16TH   STREET                   ,New York,NY,11214
133,796 BARBEY STREET                        ,New York,NY,11207
134,430 VERMONT STREET                       ,New York,NY,11207
135,2373 EAST 69 STREET                      ,New York,NY,11234
136,1353 EAST 96TH STREET                    ,New York,NY,11236
137,28A CEDAR STREET                         ,New York,NY,11221
138,34 PLEASANT PL                           ,New York,NY,11233
139,1059 EAST 81ST                           ,New York,NY,11236
140,592 EAST 38TH   STREET                   ,New York,NY,11203
141,916 THOMAS S BOYLAND ST                  ,New York,NY,11212
142,286 10TH   STREET                        ,New York,NY,11215
143,1435 BLAKE AVE                           ,New York,NY,11208
144,2364 EAST 1ST   STREET                   ,New York,NY,11223
145,1552 WEST 6TH   STREET                   ,New York,NY,11204
146,3224A EMMONS AVENUE                      ,New York,NY,11235
147,1018 CLARKSON AVE                        ,New York,NY,11212
148,27 GUNTHER PLACE                         ,New York,NY,11233
149,119 EAST 45TH STREET                     ,New York,NY,11203
150,296 GRAFTON ST                           ,New York,NY,11212
151,794 NEW JERSEY AVE                       ,New York,NY,11207
152,2027 STRAUSS STREET                      ,New York,NY,11212
153,245 BERRIMAN STREET                      ,New York,NY,11208
154,4106 CLARENDON ROAD                      ,New York,NY,11203
155,938 BUSHWICK AVENUE                      ,New York,NY,11221
