ID,ADDRESS,CITY,STATE,ZIP CODE,LNG,LAT,NEIGHBORHOOD,BUILDING CLASS CATEGORY,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
70,370 AUTUMN AVENUE,Brooklyn,NY,11208,-73.8695,40.68084,EAST NEW YORK,01 ONE FAMILY DWELLINGS,"2,469","1,371",1930,"220,000",4/7/17
71,9 JEROME STREET,Brooklyn,NY,11207,-73.88892,40.681854,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,"1,710","1,734",1899,"220,000",4/12/17
72,1361 EAST 84TH STREET,Brooklyn,NY,11236,-73.901985,40.629875,CANARSIE,02 TWO FAMILY DWELLINGS,"2,000","1,610",1955,"220,000",4/30/17
73,179 RIDGEWOOD AVENUE,Brooklyn,NY,11208,-73.88215,40.683205,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,"2,708","2,048",1920,"225,000",5/2/17
74,1366 84TH STREET,Brooklyn,NY,11228,-74.01129,40.614365,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,"2,000","1,568",1925,"228,000",5/26/17
75,148 REMSEN AVENUE,Brooklyn,NY,11212,-73.92854,40.660484,FLATBUSH-NORTH,01 ONE FAMILY DWELLINGS,"1,680","1,024",1940,"228,150",4/7/17
76,988 CLEVELAND STREET,Brooklyn,NY,11208,-73.878235,40.660713,EAST NEW YORK,01 ONE FAMILY DWELLINGS,"1,800","1,224",1960,"230,000",2/2/17
77,236 NICHOLS AVENUE,Brooklyn,NY,11208,-73.86879,40.685036,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,"1,663","1,972",1899,"230,000",2/6/17
78,739 VERMONT STREET,Brooklyn,NY,11207,-73.89055,40.66137,EAST NEW YORK,01 ONE FAMILY DWELLINGS,"1,600","1,402",1920,"230,000",3/27/17
79,18 STANTON ROAD,Brooklyn,NY,11235,-73.93653,40.585037,SHEEPSHEAD BAY,01 ONE FAMILY DWELLINGS,"1,320",608,1920,"232,914",3/3/17
